#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
WN19-00-000330,V-93421,SV-103507,SV-103507r1_rule,V-205697,SV-205697r569188_rule
WN19-00-000340,V-93385,SV-103471,SV-103471r1_rule,V-205679,SV-205679r569188_rule
WN19-00-000350,V-93387,SV-103473,SV-103473r1_rule,V-205680,SV-205680r569188_rule
WN19-00-000360,V-93423,SV-103509,SV-103509r1_rule,V-205698,SV-205698r569188_rule
WN19-00-000370,V-93389,SV-103475,SV-103475r1_rule,V-205681,SV-205681r569188_rule
WN19-00-000380,V-93391,SV-103477,SV-103477r1_rule,V-205682,SV-205682r569188_rule
WN19-00-000390,V-93393,SV-103479,SV-103479r1_rule,V-205683,SV-205683r569188_rule
WN19-00-000400,V-93395,SV-103481,SV-103481r1_rule,V-205684,SV-205684r569188_rule
WN19-00-000410,V-93397,SV-103483,SV-103483r1_rule,V-205685,SV-205685r569188_rule
WN19-00-000420,V-93223,SV-103311,SV-103311r1_rule,V-205853,SV-205853r569188_rule
WN19-00-000430,V-93225,SV-103313,SV-103313r1_rule,V-205854,SV-205854r569188_rule
WN19-00-000440,V-93187,SV-103275,SV-103275r1_rule,V-205800,SV-205800r569188_rule
WN19-00-000450,V-93227,SV-103315,SV-103315r1_rule,V-205855,SV-205855r569188_rule
WN19-00-000460,V-93229,SV-103317,SV-103317r1_rule,V-205856,SV-205856r569188_rule
WN19-00-000470,V-93231,SV-103319,SV-103319r1_rule,V-205857,SV-205857r569188_rule
WN19-AC-000010,V-93145,SV-103233,SV-103233r1_rule,V-205795,SV-205795r569188_rule
WN19-AC-000020,V-93141,SV-103229,SV-103229r1_rule,V-205629,SV-205629r569188_rule
WN19-AC-000030,V-93143,SV-103231,SV-103231r1_rule,V-205630,SV-205630r569188_rule
WN19-AC-000040,V-93479,SV-103565,SV-103565r1_rule,V-205660,SV-205660r569188_rule
WN19-AC-000050,V-93477,SV-103563,SV-103563r1_rule,V-205659,SV-205659r569188_rule
WN19-AC-000060,V-93471,SV-103557,SV-103557r1_rule,V-205656,SV-205656r569188_rule
WN19-AC-000070,V-93463,SV-103549,SV-103549r1_rule,V-205662,SV-205662r569188_rule
WN19-AC-000080,V-93459,SV-103545,SV-103545r1_rule,V-205652,SV-205652r569188_rule
WN19-AC-000090,V-93465,SV-103551,SV-103551r1_rule,V-205653,SV-205653r569188_rule
WN19-AU-000010,V-93183,SV-103271,SV-103271r1_rule,V-205799,SV-205799r569188_rule
WN19-AU-000020,V-93185,SV-103273,SV-103273r1_rule,V-205843,SV-205843r569188_rule
WN19-AU-000030,V-93189,SV-103277,SV-103277r1_rule,V-205640,SV-205640r569188_rule
WN19-AU-000040,V-93191,SV-103279,SV-103279r1_rule,V-205641,SV-205641r569188_rule
